BQI	DEPH	Latitude	Longitude	MNDEP	month	MS_CD	MXDEP	POSITION	SAMPLE_ID	Date	Institution	Station	Time	WB_ID	station_depth	WB_name	WATER_DISTRICT_NAME	WATER_TYPE_AREA	type_code	year	new_index	index_column
2.29955	41.3	63.60905	20.73648	41.3	5	WA82865410	41.3	63.61_20.74	19b68d773a0e8e815347b6773cfe50f4	2011-05-27	Umeå Universitet	HO 1		SE633550-200700	41.3	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112436_SE633550-200700	112436
7.29794	31.9	63.64145	20.75368	31.9	5	WA82865410	31.9	63.64_20.75	76a567c183db14f12f2e7d32da7b838e	2011-05-27	Umeå Universitet	HO 2		SE633550-200700	31.9	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112438_SE633550-200700	112438
9.63193	43.2	63.56732	20.72148	43.2	5	WA82865410	43.2	63.57_20.72	60e574fb8a8c07027ee2b79799ba4000	2011-05-27	Umeå Universitet	HO 28		SE633550-200700	43.2	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112439_SE633550-200700	112439
7.41835	38.8	63.69040	20.78853	38.8	5	WA82865410	38.8	63.69_20.79	205bbb285ed2b5ff2b43c9baca895408	2011-05-27	Umeå Universitet	HO 4		SE633550-200700	38.8	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112440_SE633550-200700	112440
6.74859	16.6	63.72895	20.85218	16.6	5	WA82865410	16.6	63.73_20.85	c5bbaa5c9b372e27291b3c7ab7390c79	2011-05-27	Umeå Universitet	HO 7		SE633550-200700	16.6	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112441_SE633550-200700	112441
3.89572	26.5	63.49853	19.92542	26.5	5	WA82865410	26.5	63.50_19.93	3617e8dc69b86b92e10bb5bbe883e87e	2011-05-26	Umeå Universitet	N 12		SE633550-200700	26.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112451_SE633550-200700	112451
5.15134	45.3	63.43762	20.05003	45.3	5	WA82865410	45.3	63.44_20.05	829ad7efda4e7bf8ae8df0d8193dec31	2011-05-26	Umeå Universitet	N 15		SE633550-200700	45.3	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112453_SE633550-200700	112453
4.39579	45.3	63.43762	20.05003	45.3	5	WA82865410	45.3	63.44_20.05	c049d26371b3ccc79bcf856799dd66aa	2011-05-26	Umeå Universitet	N 15		SE633550-200700	45.3	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112454_SE633550-200700	112454
5.34599	45.3	63.43762	20.05003	45.3	5	WA82865410	45.3	63.44_20.05	cabaa64f4b6f0018b2426a641b87b9ad	2011-05-26	Umeå Universitet	N 15		SE633550-200700	45.3	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112455_SE633550-200700	112455
2.95907	48.2	63.41350	19.85210	48.2	5	WA82865410	48.2	63.41_19.85	a92b66eee1a51af93b485cdade6d62f7	2011-05-26	Umeå Universitet	N 16		SE633550-200700	48.2	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2011	112456_SE633550-200700	112456
